epoch, 0, train_dur, 209, test_dur, 255
epoch, 1, train_dur, 244, test_dur, 164
epoch, 2, train_dur, 276, test_dur, 251
epoch, 3, train_dur, 310, test_dur, 163
epoch, 4, train_dur, 360, test_dur, 164
epoch, 5, train_dur, 200, test_dur, 157
epoch, 6, train_dur, 164, test_dur, 161
epoch, 7, train_dur, 255, test_dur, 217
epoch, 8, train_dur, 371, test_dur, 162
epoch, 9, train_dur, 339, test_dur, 222
epoch, 10, train_dur, 168, test_dur, 280
epoch, 11, train_dur, 215, test_dur, 279
epoch, 12, train_dur, 240, test_dur, 312
epoch, 13, train_dur, 168, test_dur, 320
epoch, 14, train_dur, 248, test_dur, 281
epoch, 15, train_dur, 238, test_dur, 251
epoch, 16, train_dur, 319, test_dur, 305
epoch, 17, train_dur, 308, test_dur, 278
epoch, 18, train_dur, 188, test_dur, 188
epoch, 19, train_dur, 219, test_dur, 406
epoch, 20, train_dur, 293, test_dur, 358
epoch, 21, train_dur, 214, test_dur, 209
epoch, 22, train_dur, 183, test_dur, 280
epoch, 23, train_dur, 165, test_dur, 238
epoch, 24, train_dur, 388, test_dur, 351
epoch, 25, train_dur, 175, test_dur, 350
epoch, 26, train_dur, 166, test_dur, 280
epoch, 27, train_dur, 162, test_dur, 253
epoch, 28, train_dur, 291, test_dur, 312
epoch, 29, train_dur, 377, test_dur, 279
epoch, 30, train_dur, 236, test_dur, 312
epoch, 31, train_dur, 201, test_dur, 295
epoch, 32, train_dur, 285, test_dur, 390
epoch, 33, train_dur, 176, test_dur, 283
epoch, 34, train_dur, 315, test_dur, 248
epoch, 35, train_dur, 211, test_dur, 380
epoch, 36, train_dur, 169, test_dur, 342
epoch, 37, train_dur, 275, test_dur, 302
epoch, 38, train_dur, 279, test_dur, 342
epoch, 39, train_dur, 183, test_dur, 191
epoch, 40, train_dur, 171, test_dur, 468
epoch, 41, train_dur, 414, test_dur, 220
epoch, 42, train_dur, 181, test_dur, 194
epoch, 43, train_dur, 258, test_dur, 217
epoch, 44, train_dur, 295, test_dur, 247
epoch, 45, train_dur, 179, test_dur, 407
epoch, 46, train_dur, 230, test_dur, 309
epoch, 47, train_dur, 185, test_dur, 433
epoch, 48, train_dur, 231, test_dur, 314
epoch, 49, train_dur, 222, test_dur, 314
epoch, 50, train_dur, 244, test_dur, 163
epoch, 51, train_dur, 174, test_dur, 283
epoch, 52, train_dur, 293, test_dur, 194
