epoch, 0, train_dur, 175, test_dur, 438
epoch, 1, train_dur, 224, test_dur, 157
epoch, 2, train_dur, 188, test_dur, 238
epoch, 3, train_dur, 309, test_dur, 406
epoch, 4, train_dur, 276, test_dur, 402
epoch, 5, train_dur, 230, test_dur, 247
epoch, 6, train_dur, 291, test_dur, 166
epoch, 7, train_dur, 174, test_dur, 343
epoch, 8, train_dur, 237, test_dur, 160
epoch, 9, train_dur, 173, test_dur, 252
epoch, 10, train_dur, 346, test_dur, 406
epoch, 11, train_dur, 433, test_dur, 230
epoch, 12, train_dur, 351, test_dur, 161
epoch, 13, train_dur, 384, test_dur, 271
epoch, 14, train_dur, 311, test_dur, 218
epoch, 15, train_dur, 186, test_dur, 161
epoch, 16, train_dur, 223, test_dur, 250
epoch, 17, train_dur, 189, test_dur, 222
epoch, 18, train_dur, 331, test_dur, 159
epoch, 19, train_dur, 264, test_dur, 280
epoch, 20, train_dur, 332, test_dur, 220
epoch, 21, train_dur, 392, test_dur, 163
epoch, 22, train_dur, 286, test_dur, 291
epoch, 23, train_dur, 337, test_dur, 349
epoch, 24, train_dur, 400, test_dur, 314
epoch, 25, train_dur, 262, test_dur, 203
epoch, 26, train_dur, 205, test_dur, 380
epoch, 27, train_dur, 185, test_dur, 351
epoch, 28, train_dur, 471, test_dur, 225
epoch, 29, train_dur, 326, test_dur, 157
epoch, 30, train_dur, 312, test_dur, 368
epoch, 31, train_dur, 229, test_dur, 351
epoch, 32, train_dur, 169, test_dur, 166
epoch, 33, train_dur, 238, test_dur, 241
epoch, 34, train_dur, 308, test_dur, 304
epoch, 35, train_dur, 285, test_dur, 242
epoch, 36, train_dur, 273, test_dur, 468
epoch, 37, train_dur, 203, test_dur, 311
epoch, 38, train_dur, 306, test_dur, 240
epoch, 39, train_dur, 288, test_dur, 230
epoch, 40, train_dur, 327, test_dur, 224
epoch, 41, train_dur, 170, test_dur, 244
epoch, 42, train_dur, 176, test_dur, 310
epoch, 43, train_dur, 308, test_dur, 164
epoch, 44, train_dur, 180, test_dur, 313
epoch, 45, train_dur, 403, test_dur, 238
epoch, 46, train_dur, 249, test_dur, 530
epoch, 47, train_dur, 334, test_dur, 166
epoch, 48, train_dur, 228, test_dur, 462
epoch, 49, train_dur, 331, test_dur, 347
epoch, 50, train_dur, 284, test_dur, 313
epoch, 51, train_dur, 234, test_dur, 340
epoch, 52, train_dur, 291, test_dur, 311
epoch, 53, train_dur, 195, test_dur, 163
epoch, 54, train_dur, 212, test_dur, 160
epoch, 55, train_dur, 167, test_dur, 165
epoch, 56, train_dur, 315, test_dur, 265
epoch, 57, train_dur, 304, test_dur, 200
epoch, 58, train_dur, 171, test_dur, 463
epoch, 59, train_dur, 262, test_dur, 384
epoch, 60, train_dur, 291, test_dur, 163
epoch, 61, train_dur, 159, test_dur, 437
epoch, 62, train_dur, 227, test_dur, 213
epoch, 63, train_dur, 176, test_dur, 227
epoch, 64, train_dur, 208, test_dur, 239
epoch, 65, train_dur, 170, test_dur, 352
epoch, 66, train_dur, 222, test_dur, 226
epoch, 67, train_dur, 174, test_dur, 159
epoch, 68, train_dur, 319, test_dur, 283
epoch, 69, train_dur, 239, test_dur, 159
epoch, 70, train_dur, 212, test_dur, 228
epoch, 71, train_dur, 177, test_dur, 220
epoch, 72, train_dur, 174, test_dur, 314
epoch, 73, train_dur, 276, test_dur, 175
epoch, 74, train_dur, 169, test_dur, 216
epoch, 75, train_dur, 205, test_dur, 279
epoch, 76, train_dur, 291, test_dur, 401
epoch, 77, train_dur, 309, test_dur, 250
epoch, 78, train_dur, 276, test_dur, 252
epoch, 79, train_dur, 245, test_dur, 374
epoch, 80, train_dur, 165, test_dur, 188
epoch, 81, train_dur, 219, test_dur, 418
epoch, 82, train_dur, 188, test_dur, 386
epoch, 83, train_dur, 185, test_dur, 288
epoch, 84, train_dur, 166, test_dur, 511
epoch, 85, train_dur, 252, test_dur, 377
epoch, 86, train_dur, 247, test_dur, 311
epoch, 87, train_dur, 183, test_dur, 166
epoch, 88, train_dur, 174, test_dur, 312
epoch, 89, train_dur, 179, test_dur, 190
epoch, 90, train_dur, 174, test_dur, 161
epoch, 91, train_dur, 351, test_dur, 226
epoch, 92, train_dur, 169, test_dur, 256
epoch, 93, train_dur, 182, test_dur, 219
epoch, 94, train_dur, 185, test_dur, 217
epoch, 95, train_dur, 267, test_dur, 246
epoch, 96, train_dur, 242, test_dur, 164
epoch, 97, train_dur, 185, test_dur, 208
epoch, 98, train_dur, 237, test_dur, 309
epoch, 99, train_dur, 294, test_dur, 603
epoch, 100, train_dur, 219, test_dur, 163
epoch, 101, train_dur, 169, test_dur, 220
epoch, 102, train_dur, 180, test_dur, 250
epoch, 103, train_dur, 272, test_dur, 162
epoch, 104, train_dur, 239, test_dur, 345
epoch, 105, train_dur, 237, test_dur, 353
epoch, 106, train_dur, 234, test_dur, 317
epoch, 107, train_dur, 352, test_dur, 282
epoch, 108, train_dur, 177, test_dur, 338
epoch, 109, train_dur, 380, test_dur, 387
epoch, 110, train_dur, 249, test_dur, 484
epoch, 111, train_dur, 184, test_dur, 343
epoch, 112, train_dur, 170, test_dur, 283
epoch, 113, train_dur, 177, test_dur, 341
epoch, 114, train_dur, 241, test_dur, 219
epoch, 115, train_dur, 247, test_dur, 375
epoch, 116, train_dur, 332, test_dur, 186
epoch, 117, train_dur, 181, test_dur, 384
epoch, 118, train_dur, 239, test_dur, 487
epoch, 119, train_dur, 324, test_dur, 185
epoch, 120, train_dur, 211, test_dur, 244
epoch, 121, train_dur, 246, test_dur, 249
epoch, 122, train_dur, 258, test_dur, 399
epoch, 123, train_dur, 249, test_dur, 321
epoch, 124, train_dur, 212, test_dur, 405
epoch, 125, train_dur, 236, test_dur, 222
epoch, 126, train_dur, 185, test_dur, 433
epoch, 127, train_dur, 174, test_dur, 262
epoch, 128, train_dur, 206, test_dur, 309
