epoch, 0, train_dur, 243, test_dur, 281
epoch, 1, train_dur, 258, test_dur, 286
epoch, 2, train_dur, 194, test_dur, 250
epoch, 3, train_dur, 271, test_dur, 313
epoch, 4, train_dur, 278, test_dur, 316
epoch, 5, train_dur, 183, test_dur, 280
epoch, 6, train_dur, 191, test_dur, 250
epoch, 7, train_dur, 234, test_dur, 252
epoch, 8, train_dur, 246, test_dur, 279
epoch, 9, train_dur, 167, test_dur, 279
epoch, 10, train_dur, 174, test_dur, 251
epoch, 11, train_dur, 290, test_dur, 218
epoch, 12, train_dur, 276, test_dur, 284
epoch, 13, train_dur, 299, test_dur, 311
epoch, 14, train_dur, 220, test_dur, 311
